永和,清时朱一贵年号,1721
永嘉,晋怀帝年号,307—313
永嘉,大理段正严年号,？—1128
永建,汉顺帝年号,126—132
永建,西凉李恂年号,420—421
永康,汉桓帝年号,167
永康,晋惠帝年号,300—301
永康,后燕慕容宝年号,396—398
永康,西秦乞伏炽磐年号,412—419
永康,柔然受罗部真可汗年号,466—484
永乐,南汉时张遇贤年号,942—943
永乐,宋时方腊年号,1120—1121
永乐,明成祖年号,1403—1424
永隆,隋末梁师都年号,617—628
永隆,唐高宗年号,680—681
永隆,闽王曦年号,939—944
永宁,汉安帝年号,120—121
永宁,晋惠帝年号,301—302
永宁,后赵石祗年号,350—351
永平,汉明帝年号,58—75
永平,晋惠帝年号,291
永平,北魏宣武帝年号,508—512
永平,高昌麹玄喜年号,549—550
永平,隋末李密年号,617—618
永平,前蜀王建年号,911—915
永始,汉成帝年号,前16—前13
永始,晋时桓玄年号,403—404
永泰,南齐明帝年号,498
永泰,唐代宗年号,765—766
永熙,晋惠帝年号,290
永熙,北魏孝武帝年号,532—534
永兴,汉桓帝年号,153—154
永兴,晋惠帝年号,304—306
永兴,冉魏冉闵年号,350—352
永兴,前秦苻坚年号,357—359
永兴,北魏明元帝年号,409—413
永兴,北魏孝武帝年号,532
永元,汉和帝年号,89—105
永元,南齐东昏侯萧宝卷年号,499—501
永贞,唐顺宗年号,805
永贞,大理段正兴年号,1148
元封,汉武帝年号,前110—前105
元封,南诏异牟寻年号,？—808
元光,汉武帝年号,前134—前129
元光,金宣宗年号,1222—1223
元和,汉章帝年号,84—87
元和,唐宪宗年号,806—820
元嘉,汉桓帝年号,151—153
元嘉,南朝宋文帝年号,424—453
元康,汉宣帝年号,前65—前61
元康,晋惠帝年号,291—299
元寿,汉哀帝年号,前2—前1
元寿,大理段智廉年号,？—1204
元熙,汉（前赵）刘渊年号,304—308
元熙,晋恭帝年号,419—420
元兴,汉和帝年号,105
元兴,吴末帝年号,264—265
元兴,晋安帝年号,402—404
载初,唐武则天年号,689—690
载初,唐时安庆绪年号,757
章和,汉章帝年号,87—88
章和,高昌麹坚年号,531—548
贞观,唐太宗年号,627—649
贞观,西夏崇宗年号,1101—1113
贞明,南诏隆舜年号,878—？
贞明,后梁末帝年号,915—921
贞祐,南诏郑仁旻年号,？—？
贞祐,金宣宗年号,1213—1217
贞元,唐德宗年号,785—805
贞元,金海陵王完颜亮年号,1153—1156
真王,北魏时破六韩拔陵年号,523—525
真王,北魏时杜洛周年号,525—528
正德,大理段思廉年号,？—？
正德,西夏崇宗年号,1127—1134
正德,明武宗年号,1506—1521
正平,北魏太武帝年号,451—452
正平,南朝梁临贺王萧正德年号,548—549
正始,魏齐王曹芳年号,240—249
正始,北燕高云年号,407—409
正始,北魏宣武帝年号,504—508
至德,南朝陈后主年号,583—586
至德,唐肃宗年号,756—758
至元,元世祖年号,1264—1294
后至元,元世祖年号,1264—1294
至元,元顺帝年号,1335—1340
后至元,元顺帝年号,1335—1340
至治,大理段思良年号,946—951
至治,元英宗年号,1321—1323
治平,宋英宗年号,1064—1067
治平,元末徐寿辉年号,1351—1355
中兴,西燕慕容永年号,386—394
中兴,南齐和帝年号,501—502
中兴,北魏安定王元朗年号,531—532
中兴,渤海大华玙年号,793—794
中兴,南诏舜化贞年号,898—902
中兴,南唐李璟年号,958
中兴,于阗李从德年号,978—982
周成王,（？—前1021）西周国王。武王之子。,前1042—前1021
纣,（？—前1046）亦作“受”，亦称“帝辛”。商代末代国君。,前1075—前1046
帝乙,（？—前1076）甲骨文作“文武帝乙”。商代国君。名羡。纣王之父。,前1101—前1076
武丁,（？—前1192）商代国君。名昭。盘庚弟小乙之子。,前1250—前1192
周赧王,（？—前256）东周国王。慎靓王之子。,前314—前256
燕昭王,（？—前279）战国时燕国君。燕王哙庶子。,前311—前279
齐湣王,（？—前284）亦作“齐闵王”“齐愍王”。战国时齐国君。宣王之子。,前300—前284
宋王偃,（？—前286）亦作“宋康王”“宋献王”。战国时宋国君。,前329—前286
赵武灵王,（？—前295）战国时赵国君。肃侯之子。,前325—前299
楚怀王,（？—前296）战国时楚国君。威王之子。,前329—前299
齐宣王,（？—前301）战国时齐国君。威王之子。,前319—前301
燕王哙,（？—前314）战国时燕国君。易王之子。,前320—前318
齐威王,（？—前320）战国时齐国君。桓公之子。,前356—前320
魏文侯,（？—前396）战国时魏国的建立者。魏桓公之子。,前445—前396
勾践,（？—前465）亦作“句践”。春秋时越国君。越王允常之子。,前497—前465
夫差,（？—前473）春秋时吴国君。吴王阖闾之子。,前495—前473
卫庄公,（？—前478）春秋时卫国君。灵公之子。,前480—前478
齐景公,（？—前490）春秋时齐国君。庄公异母弟。,前547—前490
阖闾,（？—前496）亦作“阖庐”。春秋时吴国君。吴王诸樊之子（一说夷末之子）。,前514—前496
吴王僚,（？—前515）春秋时吴国君。吴王夷末（一作“餘眜”）之子（一说庶兄）。,前526—前515
楚庄王,（？—前591）春秋时楚国君。穆王之子。,前613—前591
秦穆公,（？—前621）春秋时秦国君。德公之子，宣公、成公之弟。,前659—前621
卫文公,（？—前635）春秋时卫国君。戴公申之弟。,前659—前635
宋襄公,（？—前637）春秋时宋国君。桓公之子。,前650—前637
晋惠公,（？—前637）春秋时晋国君。献公之子。,前650—前637
齐桓公,（？—前643）春秋时齐国君。襄公之弟。,前685—前643
晋献公,（？—前651）春秋时晋国君。武公之子。,前676—前651
曲沃武公,（？—前677）即“晋武公”。春秋时晋国君。曲沃庄伯之子。,前716—前677
周平王,（？—前720）东周国王。幽王太子，申后所生。,前770—前720
卫庄公,（？—前735）春秋时卫国君。武公之子。,前757—前735
秦襄公,（？—前766）春秋时秦国君。庄公之子，继其父而立。,前777—前766
郑桓公,（？—前771）西周末郑国君。周宣王之弟。,前806—前771
周幽王,（？—前771）西周国王。宣王之子。,前781—前771
周宣王,（？—前782）西周国王。厉王之子。,前827—前782
周厉王,（？—前828）西周国王。夷王之子。,前877—前841
周穆王,（？—前922）西周国王。昭王之子。,前976—前922
周昭王,（？—前977）西周国王。康王之子。,前995—前977
周康王,（？—前996）西周国王。成王之子。,前1020—前996
汉武帝,（前156—前87）即“刘彻”。西汉皇帝。景帝之子。,前141—前87
汉景帝,（前188—前141）即“刘启”。西汉皇帝。文帝之子。,前157—前141
汉文帝,（前202—前157）即“刘恒”。西汉皇帝。高祖之子。,前180—前157
秦二世,（前230—前207）即“胡亥”。秦朝第二代皇帝。秦始皇少子。,前210—前207
汉高祖,（前256或前247—前195）即“刘邦”。西汉王朝的建立者。,前202—前195
秦始皇,（前259—前210）即“嬴政”，亦称“赵政”。战国时秦国君、秦王朝的建立者。,前247—前210
秦庄襄王,（前280—前247）战国时秦国君。昭王之孙。,前249—前247
秦昭王,（前324—前251）亦称“秦昭襄王”。战国时秦国君。武王异母弟。,前306—前251
秦惠文王,（前356—前311）战国时秦国君。孝公之子。,前337—前311
秦孝公,（前381—前338）战国时秦国君。献公之子。,前361—前338
魏惠王,（前400—前319）亦称“梁惠王”。战国时魏国君。武侯之子。,前369—前319
晋文公,（前697或前671—前628）春秋时晋国君。献公之子。,前636—前628
郑庄公,（前757—前701）春秋时郑国君。武公之子。,前744—前701
大成,北周宣帝年号,579
大成兴胜,明时徐鸿儒年号,1622
大乘兴胜,明时徐鸿儒年号,1622
大世,隋末刘迦论年号,614
大同,南朝梁武帝年号,535—546
大同,南诏隆舜年号,？—？
大同,辽太宗年号,947
大足,周武则天年号,701
德兴,北辽萧德妃年号,1122
凤凰,吴末帝年号,272—274
凤凰,晋时李弘年号,370
白乌,隋末向海明年号,613
光熙,晋惠帝年号,306
光熹,汉少帝年号,189
光宅,唐武则天年号,684
汉昌,汉（前赵）刘粲年号,318
弘道,唐高宗年号,683
弘光,南明福王朱由崧年号,1645
洪熙,明仁宗年号,1425
洪宪,民国时袁世凯年号,1916
宝义,西夏末主年号,1227
黄龙,汉宣帝年号,前49
黄龙,吴大帝年号,229—231
黄龙,唐时段子璋年号,761
建福,北辽宣宗年号,1122
建始,汉成帝年号,前32—前28
建始,晋赵王司马伦年号,301
建始,后燕时慕容详年号,397
建始,晋时桓玄年号,403
建始,后燕慕容熙年号,407
建武,汉光武帝年号,25—56
建武,晋惠帝年号,304
建武,晋元帝年号,317—318
建武,后赵石虎年号,335—348
建武,西燕慕容忠年号,386
建武,南齐明帝年号,494—498
建武,北魏北海王元颢年号,529
建义,西秦乞伏国仁年号,385—388
建义,南朝宋时杨难当年号,436—442
建义,南齐时雍道晞年号,500
建义,北魏孝庄帝年号,528
建贞,唐襄王李煴年号,886
建中靖国,宋徽宗年号,1101
交泰,南唐李璟年号,958
景和,南朝宋前废帝年号,465
久视,周武则天年号,700
本初,汉质帝年号,146
开庆,宋理宗年号,1259
开兴,金哀宗年号,1232
开运,后晋出帝年号,944—946
开运,西夏景宗年号,1034
龙凤,元末韩林儿年号,1355—1366
龙凤,明时田九成年号,1397
龙纪,唐昭宗年号,889
隆昌,南齐郁林王萧昭业年号,494
隆化,北齐后主年号,576
鲁兴,北魏时鲜于修礼年号,526
罗平,唐时裘甫年号,860
平赵,前赵时句渠知年号,320
乾明,北齐废帝年号,560
乾兴,宋真宗年号,1022
青龙,魏明帝年号,233—237
青龙,后赵石鉴年号,350
青龙,后燕时兰汗年号,398
日新,大理段正严年号,1109
如意,周武则天年号,692
上德,大理段连义年号,1076
上明,大理段寿辉年号,1081
上愿,南朝梁时鲜于琛年号,535
上治,大理高昇泰年号,1095
绍武,南明唐王朱聿𨮁年号,1646
神凤,吴大帝年号,252
